"","id","doubs_dem","carea","cslope","dfs","alt","slo","flo","pH","har","pho","nit","amm","oxy","bdo","fish_abund","q_class","dist_Q1","dist_Q2","dist_Q3","dist_Q4","dist_Q5","dist_Q6","dist_Q7","dist_Q8","dist_Q9","dist_Q10","dist_Q11","dist_Q12","dist_Q13","dist_Q14","dist_Q15","dist_Q16"
"1",1,964.832763671875,9962.357421875,0.0985278487205505,3,934,6.176,84,79,45,1,20,0,122,27,3,"[3,9.25]",634.744833675233,2457.51114341765,5888.91468465292,8076.90001995638,12590.2602055172,57418.5535825135,66240.6131436176,81725.0719115908,90370.1183259891,80737.417188467,64025.1965694729,76825.6113373191,60715.4753274097,58845.8412402814,87935.1971012242,55025.4107120339
"2",2,947.797180175781,5278.6337890625,0.0938258096575737,22,932,3.434,100,80,40,2,20,10,103,19,12,"(11.5,14]",3459.33567642026,400.775155664373,3233.4571374996,5399.85995835441,9876.22675200155,54602.8853637659,63419.0791331062,78910.9492007751,87545.379620515,77983.2688020618,62087.4296127679,74115.4575463965,59142.6800451709,57572.7597758705,85346.0799637079,54664.3160917023
"3",3,901.216735839844,52353.3203125,0.126808032393456,102,914,3.638,180,83,52,5,22,5,105,35,16,"(15,16]",6427.53115897302,3447.00490050178,88.3497004962687,4134.65572078826,7964.82389970722,51952.7251314007,60720.1061919392,76260.7586957143,84808.4461594502,75586.6758473846,61305.4458712715,71854.7129654859,58891.3151349304,57718.1888723822,83378.3311584899,55860.3908744498
"4",4,850.921203613281,51395.40234375,0.107406854629517,185,854,3.497,253,80,72,10,21,0,110,13,21,"(18.5,21]",8690.86334263925,5785.57531105085,4171.11172959461,14.70891560749,4530.33295232225,49497.068948676,58357.3007321787,73787.7292630038,82513.2676839417,72682.5366936094,57230.7687359728,68764.9187276265,54769.4796449684,53645.0277332182,79961.6551828022,52260.5637946758
"5",5,847,3473.38232421875,0.00621386244893074,215,849,3.178,264,81,84,38,52,20,80,62,34,"(33.8,41]",13156.5652036809,10249.6248167723,8079.94026546898,4457.4387361197,434.003223836803,45186.4057248541,54074.2523942653,69453.1488756503,78241.6021910248,68234.4853031813,53468.7751211614,64295.6572753838,51537.2161832085,50877.2683458347,75513.308415281,50375.1943537028
"6",6,842.390319824219,305535.5625,0.161931529641151,324,846,3.497,286,79,60,20,15,0,102,53,21,"(18.5,21]",17625.5300708088,14718.5847176062,4502.56118942257,510.467624963317,4455.64820623269,40910.4227569489,49824.4417455076,65137.1690181278,73993.6300160718,63789.8019197602,49824.280584914,59826.8254324943,48502.3030715958,48365.3167897245,71067.9477406612,48624.0121327872
"7",7,840.7763671875,21782.138671875,0.214877858757973,268,841,4.205,400,81,88,7,15,0,111,22,16,"(15,16]",21643.5062186357,16173.1105785601,379.456789232455,3787.31490363634,8562.95867866302,37414.63667261,46357.1953603952,61535.0843934813,70502.3796095823,59908.846731768,46099.4506465517,55850.6830455643,45261.1187616701,45568.3594393216,66969.3130657681,46495.9350017147
"8",9,839.404907226562,54437.83984375,0.0963432043790817,705,752,2.565,480,80,90,30,82,12,72,52,14,"(11.5,14]",38216.2245894119,519.301457505931,16284.675354074,20155.979577947,25010.7131507608,21763.5749815478,30633.9135062976,45334.809013829,54531.9022935122,43275.5575959578,36335.631924499,39235.7683589247,39211.1727353023,42211.6481607792,50828.9431820275,46521.0281865503
"9",10,922.867797851562,21303.662109375,0.113728441298008,990,617,4.605,1000,77,82,6,75,1,100,43,14,"(11.5,14]",42325.5524762015,266.630872751377,28005.7432958875,27534.7950236256,35978.4609392588,9095.53443943865,18038.5192183301,33329.9677123321,42187.4559260834,33026.6919088788,38185.8178190298,30193.3094298503,32934.3420325232,36983.2178826326,43807.2130769386,56471.5846504835
"10",11,817.567443847656,39626.734375,0.230929359793663,1234,483,3.738,1990,81,96,30,160,0,115,27,11,"(9.25,11.5]",35604.9624802542,9444.74923835183,37224.0038296129,18360.7953755454,41613.1576539828,377.108725420825,8820.7787501334,24251.4617596369,32982.8406801794,25111.8332946474,29492.0907363082,23402.6311711728,26386.7562152273,30184.1169254206,38017.0106295352,62387.6520891625
"11",12,913.238830566406,15884.4755859375,0.0784394592046738,1324,477,2.833,2000,79,86,4,50,0,122,30,18,"(16,18.5]",30232.008104407,18663.7478639311,46442.7740844464,9277.53613047259,32437.5316047926,9357.11896058623,473.39193861639,15342.1004837395,23789.790271311,18451.1778592132,21246.4149796886,18807.7206790511,21859.8015088987,24988.0656350317,33786.3030952497,69031.8650585368
"12",13,725.917663574219,66961.0234375,0.192880615592003,1436,450,3.091,2110,81,98,6,52,0,124,24,19,"(18.5,21]",24313.9228964839,27794.8847679725,55543.9177793202,588.382915493146,23249.0570503046,18518.0347638423,9749.88221751817,5915.81951170971,14708.9354511096,12087.0347786653,12326.3633565619,15350.3450249465,17895.1291790344,19742.1384445714,28956.1552205492,74389.0047440757
"13",14,531.754028320312,195658.03125,0.224598065018654,1522,434,2.565,2120,83,98,27,123,0,123,38,28,"(21,28]",21823.020753735,33503.7633928889,61195.561740497,6040.55839452113,17737.9154759584,24270.5878916501,15575.3269863792,288.23923107784,9506.80571827735,10577.1324534867,7400.0721667684,15761.1495209227,17553.3003534793,18162.8917819934,27102.2067620842,78006.7011923988
