"id","X","Y","doubs_dem","carea","cslope","dfs","alt","slo","flo","pH","har","pho","nit","amm","oxy","bdo","fish_abund"
1,746438.111457404,5179154.51299062,964.832763671875,9962.357421875,0.0985278487205505,3,934,6.176,84,79,45,1,20,0,122,27,3
2,748663.988985474,5181289.34611578,947.797180175781,5278.6337890625,0.0938258096575737,22,932,3.434,100,80,40,2,20,10,103,19,12
3,751912.987996706,5182626.67980666,901.216735839844,52353.3203125,0.126808032393456,102,914,3.638,180,83,52,5,22,5,105,35,16
4,750835.186151755,5186667.92046647,850.921203613281,51395.40234375,0.107406854629517,185,854,3.497,253,80,72,10,21,0,110,13,21
5,753232.646164664,5190494.70315935,847,3473.38232421875,0.00621386244893074,215,849,3.178,264,81,84,38,52,20,80,62,34
6,755271.988025499,5194908.40312059,842.390319824219,305535.5625,0.161931529641151,324,846,3.497,286,79,60,20,15,0,102,53,21
7,755920.190830947,5199022.88326833,840.7763671875,21782.138671875,0.214877858757973,268,841,4.205,400,81,88,7,15,0,111,22,16
9,764391.319076966,5212375.2471,839.404907226562,54437.83984375,0.0963432043790817,705,752,2.565,480,80,90,30,82,12,72,52,14
10,776564.968583022,5217618.35984081,922.867797851562,21303.662109375,0.113728441298008,990,617,4.605,1000,77,82,6,75,1,100,43,14
11,783499.596721967,5223837.85467048,817.567443847656,39626.734375,0.230929359793663,1234,483,3.738,1990,81,96,30,160,0,115,27,11
12,790361.308625774,5229582.14928962,913.238830566406,15884.4755859375,0.0784394592046738,1324,477,2.833,2000,79,86,4,50,0,122,30,18
13,796213.947578926,5237209.41153921,725.917663574219,66961.0234375,0.192880615592003,1436,450,3.091,2110,81,98,6,52,0,124,24,19
14,798631.599368888,5242864.41945555,531.754028320312,195658.03125,0.224598065018654,1522,434,2.565,2120,83,98,27,123,0,123,38,28
15,807438.776097756,5246686.07226813,812.002319335938,39882.66796875,0.19903601706028,1645,415,1.792,2300,86,86,40,100,0,117,21,33
16,812976.111061682,5253354.8294054,438.075103759766,98587.71875,0.268830567598343,1859,375,3.045,1610,80,88,20,200,5,103,27,40
17,804992.368842182,5251250.45998056,597.60107421875,16291.5048828125,0.33317244052887,1985,348,1.792,2430,80,92,20,250,20,102,46,44
18,797293.76466638,5249893.55296544,574.399780273438,13483.7314453125,0.525481700897217,2110,332,2.197,2500,80,90,50,220,20,103,28,42
19,789697.758734988,5248070.97159509,481.051300048828,27721.767578125,0.373707234859467,2246,310,1.792,2590,81,84,60,220,15,106,33,46
20,783695.266271667,5247056.76126621,492.969879150391,144049.109375,0.237814754247665,2477,286,2.197,2680,80,86,30,300,30,103,28,56
21,782898.141082788,5250024.84006662,504.123413085938,5089.95458984375,0.175755992531776,2812,262,2.398,2720,79,85,20,220,10,90,41,62
22,784512.051656172,5253830.90346712,371.143676757812,64121.15625,0.282111495733261,2940,254,2.708,2790,81,88,20,162,7,91,48,72
23,784657.35836602,5259249.84137301,405.789611816406,9569.423828125,0.186210304498672,3043,246,2.565,2880,81,97,260,350,115,63,164,4
24,779250.261128735,5261394.76991374,440.50537109375,31417.607421875,0.0641081556677818,3147,241,1.386,2976,80,99,140,250,60,52,123,15
25,766059.919710075,5255490.39273346,338.955230712891,267160.84375,0.196896061301231,3278,231,1.792,3870,79,100,422,620,180,41,167,11
26,745904.832668322,5243673.03731908,556.899475097656,6043.0400390625,0.160680189728737,3579,214,1.792,3910,79,94,143,300,30,62,89,43
27,736182.495524435,5239429.23983012,389.753631591797,84267.7734375,0.152778699994087,3732,206,2.565,3960,81,90,58,300,26,72,63,63
28,729611.177029212,5235925.06376496,239.362442016602,64378.34375,0.155256122350693,3947,195,1.386,4320,83,100,74,400,30,81,45,70
29,721800.670076037,5230339.45275657,261.986663818359,2720.662109375,0.0118892341852188,4220,183,1.946,6770,78,110,45,162,10,90,42,87
30,714329.137036973,5224056.60555424,274.573944091797,10489.642578125,0.0535352043807507,4530,172,1.099,6900,82,109,65,160,10,82,44,89
